model,lr,batch_size,min_val_loss,max_val_top1_acc
SE,0.001,64,0.308965323,0.9026
SLE,0.001,64,0.321807611,0.9019
SE,0.001,32,0.305601788,0.9004
SLE,0.001,128,0.354401384,0.8998
Base,0.001,64,0.315745047,0.8997
SLE,0.001,32,0.315255474,0.8994
Base,0.001,32,0.312895172,0.8978
SE,0.001,128,0.350092648,0.8969
Base,0.001,128,0.37113387,0.8933
SE,0.0001,32,0.503094913,0.8618
Base,0.0001,32,0.516909711,0.8561
SLE,0.0001,32,0.515087767,0.8555
Base,0.0001,64,0.619447429,0.8273
SE,0.0001,64,0.638943341,0.8224
Base,0.01,128,0.52640186,0.8206
SE,0.01,128,0.52248433,0.8202
SLE,0.0001,64,0.658438977,0.8122
SLE,0.01,128,0.579983083,0.8019
SE,0.0001,128,0.708615233,0.7966
Base,0.0001,128,0.717178829,0.7961
SE,0.01,64,0.613334055,0.7893
Base,0.01,64,0.621059458,0.7885
SLE,0.0001,128,0.718849977,0.7727
SLE,0.01,64,0.707780466,0.761
Base,0.01,32,0.729682367,0.7496
SE,0.01,32,0.725297949,0.7483
SLE,0.01,32,0.793013183,0.7242
